"","x"
"781","ENSG00000063245"
"782","ENSG00000063322"
"783","ENSG00000063438"
"784","ENSG00000063587"
"785","ENSG00000063601"
"786","ENSG00000063660"
"787","ENSG00000063761"
"788","ENSG00000063854"
"789","ENSG00000063978"
"790","ENSG00000064012"
"791","ENSG00000064042"
"792","ENSG00000064102"
"793","ENSG00000064115"
"794","ENSG00000064195"
"795","ENSG00000064199"
"796","ENSG00000064201"
"797","ENSG00000064218"
"798","ENSG00000064225"
"799","ENSG00000064270"
"800","ENSG00000064300"
"801","ENSG00000064309"
"802","ENSG00000064313"
"803","ENSG00000064393"
"804","ENSG00000064419"
"805","ENSG00000064490"
"806","ENSG00000064545"
"807","ENSG00000064547"
"808","ENSG00000064601"
"809","ENSG00000064607"
"810","ENSG00000064651"
"811","ENSG00000064652"
"812","ENSG00000064655"
"813","ENSG00000064666"
"814","ENSG00000064687"
"815","ENSG00000064692"
"816","ENSG00000064703"
"817","ENSG00000064726"
"818","ENSG00000064763"
"819","ENSG00000064835"
"820","ENSG00000064886"
"821","ENSG00000064932"
"822","ENSG00000064933"
"823","ENSG00000064961"
"824","ENSG00000064989"
"825","ENSG00000064995"
"826","ENSG00000064999"
"827","ENSG00000065000"
"828","ENSG00000065029"
"829","ENSG00000065054"
"830","ENSG00000065057"
"831","ENSG00000065060"
"832","ENSG00000065135"
"833","ENSG00000065150"
"834","ENSG00000065154"
"835","ENSG00000065183"
"836","ENSG00000065243"
"837","ENSG00000065268"
"838","ENSG00000065308"
"839","ENSG00000065320"
"840","ENSG00000065328"
"841","ENSG00000065357"
"842","ENSG00000065361"
"843","ENSG00000065413"
"844","ENSG00000065427"
"845","ENSG00000065457"
"846","ENSG00000065485"
"847","ENSG00000065491"
"848","ENSG00000065518"
"849","ENSG00000065526"
"850","ENSG00000065534"
"851","ENSG00000065548"
"852","ENSG00000065559"
"853","ENSG00000065600"
"854","ENSG00000065609"
"855","ENSG00000065613"
"856","ENSG00000065615"
"857","ENSG00000065618"
"858","ENSG00000065621"
"859","ENSG00000065665"
"860","ENSG00000065675"
"861","ENSG00000065717"
"862","ENSG00000065802"
"863","ENSG00000065809"
"864","ENSG00000065833"
"865","ENSG00000065882"
"866","ENSG00000065883"
